reward,loss,timesteps
190,1104.8228,1401838
193,933.9011,1403782
183,1075.54,1405846
183,412.29062,1407882
179,248.1659,1410005
176,370.89243,1411742
188,2439.4265,1413937
196,450.62527,1416557
201,1901.0999,1418289
208,515.8407,1420255
199,1015.6134,1422215
207,1838.7594,1424168
209,560.9969,1426425
200,2315.982,1428288
220,1231.8208,1430826
230,1362.5868,1432517
217,490.2228,1434680
200,1669.7489,1436434
223,2242.632,1439073
225,1095.0786,1440681
232,2112.5752,1442483
240,2766.3506,1444728
227,1023.3554,1446847
233,1323.656,1448770
225,1569.696,1450567
224,869.5132,1453149
223,472.50348,1455410
225,793.8541,1457544
225,1293.418,1458936
209,1076.5784,1460934
220,455.00403,1463441
204,769.3052,1465561
202,3154.484,1467319
214,2079.2764,1469734
202,2065.615,1471169
227,1655.9349,1473263
229,640.36224,1475474
233,2427.0664,1477971
236,1962.315,1479869
238,733.3325,1481215
237,1725.73,1483407
250,1174.8881,1486079
241,2527.4524,1487695
250,536.5929,1489989
257,2288.1282,1491704
254,1074.0784,1493840
236,1300.1614,1496005
248,1969.1353,1498282
241,930.98676,1500389
237,1714.4543,1502230
243,783.141,1504101
237,1101.5361,1506625
225,423.92938,1508313
240,1394.5537,1510524
219,680.30786,1512739
216,338.5025,1514810
216,1487.0715,1516115
200,913.2422,1518662
208,520.1004,1520591
210,1001.1677,1522364
222,1766.2085,1524391
223,939.84314,1526595
220,478.66748,1528995
228,1105.4185,1531101
224,970.0963,1533080
233,561.0192,1535138
241,5511.071,1536664
272,3328.6392,1538561
280,889.5398,1541100
292,2223.9482,1542890
302,1015.86755,1545319
293,1185.8828,1546876
283,3367.8489,1548800
314,787.4752,1551483
307,904.27423,1553090
338,2304.63,1555295
321,1770.3986,1556703
335,678.4519,1559536
322,1554.1934,1561162
310,1185.7744,1563475
297,454.22614,1565331
306,2256.4219,1567507
308,1117.7057,1569973
316,1858.3434,1571760
319,1566.0857,1573757
339,3841.8948,1575518
335,2064.0083,1577664
318,5828.0645,1578700
360,1003.04626,1581712
347,1137.1855,1583860
326,723.50366,1586628
324,1062.0757,1587742
324,1609.865,1590327
299,427.9016,1592447
268,244.68845,1594906
220,434.53253,1596286
193,92.329414,1598403
118,472.28308,1600816
118,93.68529,1603045
98,63.8275,1604914
83.6,2153.2087,1606528
79.4,259.17316,1609028
77.7,731.6352,1610705
85.5,108.66364,1613041
78.5,174.2859,1614898
84.7,374.5017,1617268
85.3,215.86667,1618959
89.7,519.41235,1620641
93.9,152.55293,1623454
94.8,230.75107,1625399
77.4,482.82034,1626626
81.7,612.1261,1629072
90.6,238.929,1631494
77.6,79.02823,1633440
77.5,143.64938,1635452
83.5,1495.485,1637059
89.1,527.9192,1638995
90.6,1215.5581,1641404
96.5,241.6351,1643831
96.3,1067.8619,1645228
122,683.9596,1647846
118,500.0056,1649886
114,445.81396,1650800
115,812.53265,1653474
131,302.12466,1655861
140,2155.501,1657532
163,1009.3238,1659788
163,903.6271,1661275
166,834.27155,1663604
166,885.8333,1665648
188,1805.0834,1667716
191,1690.6333,1669718
199,1228.6213,1672336
186,294.80606,1673996
192,561.09045,1676192
206,817.65466,1678442
208,548.03784,1679866
191,637.31323,1682610
192,2239.5159,1684474
182,347.9666,1686688
175,452.10748,1687858
169,505.86786,1690917
159,909.9835,1692560
148,385.18018,1694743
154,498.53052,1696743
164,849.1349,1698974
148,407.33585,1700716
155,131.78662,1702960
160,217.521,1704778
149,248.04025,1707191
152,113.90431,1709307
153,277.92743,1711190
157,171.44601,1713106
152,212.39537,1715184
150,243.06151,1717094
164,3962.3633,1719161
166,1147.1526,1721152
177,311.46313,1723196
155,267.6258,1725870
164,1034.0939,1727440
174,131.39552,1729929
162,262.70465,1731461
174,820.99554,1733646
183,173.95361,1735612
164,201.01083,1737951
172,855.97797,1739146
184,72.772026,1741627
164,147.29428,1743866
161,565.76245,1745325
164,250.83914,1747856
167,837.55835,1750391
160,763.6104,1751740
154,650.5658,1754137
155,662.6538,1756276
150,189.7688,1758647
149,382.23605,1759745
157,176.72028,1762434
153,1088.1016,1764135
158,495.26526,1766839
143,207.66457,1768222
143,1257.3513,1770402
152,196.87926,1772389
159,190.15677,1774827
167,130.33786,1776687
158,107.653175,1778986
153,325.11737,1780163
162,651.78284,1782977
161,456.57007,1784815
166,135.8093,1787036
144,176.11528,1788655
154,149.67117,1791115
164,130.01035,1792776
150,217.09525,1795025
155,185.36008,1797243
140,180.47086,1799523
151,1131.5825,1800980
174,279.3202,1803637
157,137.56319,1805527
165,91.95534,1807322
159,130.548,1809560
171,167.27817,1811510
161,188.25626,1813571
169,80.67439,1815373
165,159.00093,1817806
166,151.65646,1819965
167,90.10101,1821755
169,629.8119,1823631
166,202.55756,1825719
163,181.89098,1828210
153,109.521774,1829737
162,167.53073,1831835
160,123.632965,1833885
163,112.09153,1836523
151,221.19907,1837936
166,90.41858,1840159
162,171.06401,1841975
166,92.269936,1844532
166,102.19096,1846466
153,948.9831,1848092
174,650.9379,1850606
167,265.01624,1852742
175,150.70639,1854700
175,38.538063,1856905
162,328.27594,1858107
178,70.60339,1860427
168,201.66635,1862950
181,1367.862,1864249
187,100.17767,1867210
185,266.79306,1868702
191,848.09735,1870440
179,161.70581,1873315
189,115.42626,1874863
177,159.24915,1876902
183,106.95023,1879178
184,171.54388,1881370
176,180.64314,1882845
180,207.89975,1885190
180,662.79486,1887004
171,165.55428,1889353
173,646.8758,1891401
180,192.63753,1893261
174,159.99188,1895554
171,171.10974,1897473
171,104.23013,1899972
169,898.2606,1901207
183,261.80234,1903551
188,794.3612,1905491
186,1841.2537,1907476
194,361.20355,1909779
194,248.13579,1912042
189,588.5684,1914109
188,311.7308,1915978
190,313.96173,1918010
185,1395.6567,1920072
205,1198.2534,1921719
220,337.72852,1924510
202,374.0544,1926143
188,170.39111,1928163
194,192.98155,1930231
181,1170.7773,1932310
186,206.91678,1934290
193,330.51337,1936545
187,1542.8265,1938241
200,203.96259,1940265
204,117.494194,1942841
202,191.31621,1944405
178,87.372604,1947080
184,165.69153,1949265
185,136.33334,1950835
183,164.18152,1952711
177,1193.5524,1954634
178,1275.1603,1956532
190,757.08527,1958645
181,201.4379,1961282
177,991.365,1963097
186,69.779625,1965198
171,316.01288,1967197
165,540.0729,1969366
170,1016.62317,1971281
172,2233.4495,1972723
182,571.9623,1975358
174,645.08734,1977085
177,1649.876,1979621
203,1936.5492,1981641
180,443.28928,1983077
189,393.64777,1985595
189,215.92221,1987545
196,936.00616,1989222
209,925.1727,1992023
193,930.14325,1993568
222,204.27505,1995755
196,181.71191,1997644
197,247.88828,2000217
198,1156.8115,2001754
180,132.24142,2003794
169,157.04607,2005158
184,892.3522,2008617
173,144.15808,2009847
177,213.14467,2011925
181,91.61911,2014163
167,231.45856,2016383
179,1989.0419,2018055
171,238.17528,2020508
178,213.32916,2022335
179,123.84728,2023996
167,165.2219,2026196
176,148.39384,2028479
176,191.44257,2030597
168,249.96953,2032572
174,153.4693,2034838
165,221.35675,2036620
175,195.18416,2038587
169,118.75026,2040984
178,139.49263,2042567
170,80.50488,2044912
161,177.38272,2046865
166,135.61577,2048713
159,145.53131,2051176
167,785.6326,2052719
178,81.11319,2055659
167,297.69855,2056943
174,125.201645,2059178
179,62.95913,2061271
169,239.51303,2063008
178,274.90784,2065545
180,210.3989,2067450
184,895.46985,2069419
193,270.9242,2071175
200,312.60388,2073599
196,213.12941,2075715
193,214.04987,2077190
208,223.16197,2080291
202,257.69968,2081437
201,186.76111,2083915
214,239.91452,2086081
208,829.9685,2087731
205,252.7089,2089707
204,132.8596,2092252
203,247.96397,2094341
203,263.99664,2096107
207,199.857,2097924
208,220.35522,2100236
202,195.65627,2102156
205,273.01868,2104541
215,1374.6106,2106689
205,398.6269,2108235
213,1044.7771,2110505
204,673.6927,2112357
220,991.1643,2114757
216,438.04034,2116117
217,358.4482,2118170
218,190.53421,2121081
215,251.29822,2122118
220,3126.3984,2124825
210,511.00006,2127309
210,846.5108,2128519
220,1025.8341,2130699
216,479.65033,2132766
218,1706.5372,2135378
212,506.82373,2137133
214,451.20407,2138787
206,555.2358,2141390
215,833.07776,2143140
208,1071.9698,2145200
211,586.8485,2147725
218,295.82544,2149268
209,492.5221,2151493
210,393.27148,2153550
207,1063.9236,2155457
215,259.7875,2157590
211,314.49725,2159423
211,216.79817,2161638
211,297.042,2163506
215,265.7671,2165678
235,5290.5957,2167763
242,954.8908,2169768
256,266.00046,2172040
238,268.47137,2174169
251,374.47708,2176595
245,854.8118,2178061
243,278.9644,2180141
248,965.76874,2181888
248,333.31012,2184623
243,379.99194,2185717
249,814.2765,2188119
235,368.6974,2190643
221,441.8457,2192479
211,238.55446,2194914
210,851.9193,2196216
222,351.51468,2198445
216,329.07748,2200266
219,278.22498,2202268
223,242.20573,2204823
226,467.98846,2206856
229,256.16968,2209047
220,295.5233,2210766
220,362.8438,2212686
229,803.9856,2214501
233,515.31506,2216026
262,1541.0154,2218770
255,393.40662,2221089
264,376.42413,2223244
263,315.64905,2225296
256,272.9321,2227421
259,1133.9011,2228687
256,954.52875,2231569
262,268.6505,2233150
265,227.77293,2235583
256,332.58313,2237352
244,240.07188,2239535
236,240.79713,2241433
222,217.69443,2243580
231,769.3132,2245804
215,162.49483,2247876
